user_id,year,Grade (year of study):,Age,Gender,Country,Study programme:,"How many hours of AI-related courses have you taken (from 0 to many, not per week, summary in your study):",L1,L2,L3,L4,L5,RE1,RE2,RE3,RE4,RE5,RE6,R1,R2,R3,R4,R5,R6,SG1,SG2,SG3,SG4,SG5,CM1,CM2,CM3,CM4,A1,A2,A3,A4,A5,IM1,IM2,IM3,IM4,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,BI1,BI2,BI3,BI4,BI5
202,2022,5,23,male,SK,IT,100,5,5,5,5,5,4,5,4,5,4,3,4,5,5,4,4,4,5,3,3,3,4,4,4,4,4,3,2,1,1,1,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5
203,2022,5,23,male,SK,IT,70,1,1,1,1,1,4,4,4,3,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,4,5,4,4,4,5,5,5,5,5,4,4,4,3,4,4,5,5,5
204,2022,1,19,male,SK,IT,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,1,4,4,3,3,5,4,4,3,3,4,5,4,5,3,4,4,4,4,4
205,2022,2,20,female,SK,education,0,4,4,4,2,4,3,3,3,4,2,3,3,2,1,2,1,3,3,3,3,3,3,1,1,1,1,3,3,3,4,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,2022,1,23,male,SK,IT,12,5,5,4,2,3,5,5,5,4,3,3,5,4,4,3,4,3,5,5,4,3,4,3,3,4,3,2,2,1,1,1,3,2,2,4,3,0,4,4,4,3,4,2,3,2,3,4,5,3,3
207,2022,4,23,male,SK,IT,25,5,5,3,4,5,4,4,4,4,3,3,4,3,5,3,4,3,4,4,3,3,3,4,2,2,4,2,2,2,1,1,3,2,4,4,3,5,4,4,3,4,5,3,5,2,4,3,4,4,4
208,2022,3,22,male,SK,IT,25,5,5,4,3,3,4,4,3,4,5,5,4,3,4,4,3,4,3,5,4,3,3,4,4,5,3,2,3,1,1,1,4,4,4,3,3,4,4,4,3,3,4,4,4,2,4,5,5,4,4
209,2022,1,19,male,SK,IT,0,5,5,4,5,5,5,5,5,3,5,5,5,5,5,3,3,4,4,5,5,3,5,4,4,5,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,4,5,4,5,0,0,4,4,3,5
210,2022,4,22,male,SK,IT,1,4,4,4,4,4,4,5,4,4,3,5,4,5,4,4,4,4,5,5,4,4,4,4,4,5,5,5,3,2,3,2,4,4,4,4,4,4,4,4,5,3,1,3,5,5,4,4,4,4,4
211,2022,2,20,female,SK,education,0,4,4,3,4,3,3,4,4,4,2,4,4,3,2,4,3,4,4,2,3,3,4,3,4,2,2,3,2,1,2,1,4,3,4,0,4,0,5,0,3,0,5,0,3,1,0,3,4,3,4
212,2022,1,22,male,SK,IT,20,5,5,5,5,5,4,5,5,5,3,4,5,4,4,3,4,3,4,4,3,2,4,5,5,4,3,1,2,1,1,1,1,1,2,2,3,5,4,2,1,3,5,4,4,3,3,4,4,5,5
213,2022,1,19,male,SK,IT,0,5,5,5,5,3,5,5,5,4,3,4,5,4,4,3,4,4,4,4,4,4,4,3,4,5,3,3,3,2,2,1,3,1,4,0,3,0,4,0,0,2,3,1,4,0,0,3,4,5,4
214,2022,2,23,male,SK,IT,15,5,5,5,4,3,5,5,5,4,3,3,5,5,5,5,4,4,3,4,4,3,3,4,5,5,4,3,3,2,2,1,4,3,4,4,4,4,5,4,3,3,4,3,4,3,3,3,4,3,4
215,2022,1,19,male,SK,IT,0,4,5,4,5,2,4,5,4,3,2,3,5,5,5,4,5,5,4,4,4,3,5,5,4,5,5,1,3,1,2,2,4,4,0,0,0,0,5,0,0,5,5,4,4,0,4,4,4,4,5
